company_name,sector,hq_city,founded_year,employee_count,funding_stage,total_funding_usd,employee_growth_pct,active_job_openings,top_hiring_roles,wlb_rating,culture_rating,growth_opportunity_rating,salary_rating,overall_employee_rating,glassdoor_reviews_count,remote_friendly,layoff_flag,ai_roles_focus,tier2_expansion,hire_quality_label,funding_ordinal,hiring_pressure,sector_clean,city_clean,log_funding,funding_per_empl,startup_age,review_density,growth_x_ai
Swish,Food Delivery,Bengaluru,2024,115,Series A,14000000,42,18,Software Engineer; QA Executive; Ops Manager,3.8,4.1,4.4,3.6,4.0,12,Hybrid,0,0,0,Growing,3,0.1565217391304348,D2C,Bengaluru,16.454567959008102,0.1430831996435487,1,0.10434782608695652,42
Azimuth AI,Semiconductor / Edge AI,Hyderabad,2022,55,Series A,12000000,38,9,VLSI Eng; AI Chip Designer; Firmware Eng,4.0,4.2,4.6,4.1,4.2,13,Hybrid,0,1,0,Growing,3,0.16363636363636364,Semiconductor,Hyderabad,16.300417291085605,0.29637122347428374,3,0.23636363636363636,76
Netrasemi,Semiconductor / Edge AI,Thiruvananthapuram,2020,70,Series A,12400000,30,8,SoC Designer; NPU Architect; Embedded SW,4.2,4.1,4.5,4.0,4.2,15,Hybrid,0,1,1,High Desirability,3,0.11428571428571428,Semiconductor,Other,16.333207111220425,0.2333315301602918,5,0.21428571428571427,60
Cancrie,CleanTech / Battery Materials,Jaipur,2020,40,Seed,1500000,25,5,Material Scientist; R&D Eng; BD Manager,4.0,4.0,4.2,3.4,3.9,7,On-site,0,0,1,Emerging,1,0.125,Climate Tech,Jaipur,14.220976332738882,0.35552440831847204,5,0.175,25
Moonrider,AgriTech / EV,Bengaluru,2023,48,Seed,8200000,44,10,EV Powertrain Eng; Field Sales; Battery Eng,3.8,4.2,4.5,3.6,4.0,6,Hybrid,0,0,1,Emerging,1,0.20833333333333334,AgriTech,Bengaluru,15.919644834185693,0.3316592673788686,2,0.125,44
Coratia Technologies,Underwater Robotics,Rourkela,2021,60,Pre-Series A,2000000,33,9,Robotics Eng; Embedded SW; Marine Eng,4.0,4.3,4.7,3.5,4.1,8,On-site,0,1,1,Growing,2,0.15,Robotics,Other,14.508658238524095,0.24181097064206825,4,0.13333333333333333,66
HYDGEN,GreenTech / Hydrogen,Mangaluru,2024,25,Seed,5000000,70,6,Electrochemical Eng; Hardware Eng; Sales,3.6,4.1,4.6,3.7,4.0,4,On-site,0,0,1,Growing,1,0.24,Climate Tech,Other,15.424948670398354,0.6169979468159341,1,0.16,70
BorderPlus,HR Tech / Global Mobility,Mumbai,2025,55,Seed,7000000,120,15,Country Manager; Training Lead; Product Mgr,3.7,4.0,4.5,3.8,4.0,5,Hybrid,0,0,1,Growing,1,0.2727272727272727,HR Tech,Mumbai,15.76142084987672,0.2865712881795767,0,0.09090909090909091,120
Ammunic Systems,Defence Tech,Bengaluru,2024,22,Seed,1100000,50,5,Munitions Eng; Electronics Eng; Systems Eng,3.5,4.4,4.8,3.6,4.1,3,On-site,0,0,0,Growing,1,0.22727272727272727,DeepTech,Bengaluru,13.910821646859095,0.6323100748572316,1,0.13636363636363635,50
First Coffee,F&B / QSR,Delhi,2023,95,Pre-Series A,3500000,38,20,Store Manager; Barista; Operations Lead,3.6,3.9,4.1,3.3,3.7,14,On-site,0,0,1,Emerging,2,0.21052631578947367,D2C,Delhi,15.068273812173887,0.1586134085491988,2,0.14736842105263157,38
Go Zero,D2C / FMCG,Mumbai,2022,80,Seed,4000000,62,11,Brand Manager; Supply Chain Lead; Growth Mktg,3.9,4.2,4.3,3.5,3.9,10,Hybrid,0,0,1,High Desirability,1,0.1375,D2C,Mumbai,15.201805169084134,0.19002256461355166,3,0.125,62
Kreo,Gaming Hardware / D2C,Bengaluru,2023,85,Seed,5000000,108,13,Hardware Eng; Product Designer; Growth Lead,4.0,4.4,4.5,3.8,4.2,12,Hybrid,0,0,0,Growing,1,0.15294117647058825,D2C,Bengaluru,15.424948670398354,0.1814699843576277,2,0.1411764705882353,108
Startup_28,AI,Bengaluru,2024,79,Pre-Series A,0,77,10,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,4,On-site,0,1,1,High Desirability,2,0.12658227848101267,AI,Bengaluru,0.0,0.0,1,0.05063291139240506,154
Startup_29,DeepTech,Jaipur,2020,158,Seed,6000000,63,23,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,16,Hybrid,0,1,0,Emerging,1,0.14556962025316456,DeepTech,Jaipur,15.607270193858982,0.09878019110037331,5,0.10126582278481013,126
Startup_30,Logistics,Ahmedabad,2024,47,Series A,2500000,44,8,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,7,Hybrid,0,0,0,Growing,3,0.1702127659574468,Logistics,Ahmedabad,14.731801689838349,0.3134425891454968,1,0.14893617021276595,44
Startup_31,HealthTech,Mumbai,2019,114,Series A,4000000,158,18,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,14,Remote,0,0,1,Growing,3,0.15789473684210525,HealthTech,Mumbai,15.201805169084134,0.1333491681498608,6,0.12280701754385964,158
Startup_32,Semiconductor,Mumbai,2019,137,Series A,6000000,128,19,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,11,On-site,0,1,1,Growing,3,0.1386861313868613,Semiconductor,Mumbai,15.607270193858982,0.11392168024714586,6,0.08029197080291971,256
Startup_33,Logistics,Chennai,2020,32,Series A,9000000,140,7,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,16,On-site,0,0,0,Growing,3,0.21875,Logistics,Chennai,16.012735246411598,0.5003979764503624,5,0.5,140
Startup_34,SaaS,Hyderabad,2023,137,Series A,6000000,147,20,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,5,Remote,0,0,1,Emerging,3,0.145985401459854,SaaS,Hyderabad,15.607270193858982,0.11392168024714586,2,0.0364963503649635,147
Startup_35,Semiconductor,Pune,2023,128,Series A,1500000,85,27,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,12,Remote,0,1,0,High Desirability,3,0.2109375,Semiconductor,Pune,14.220976332738882,0.11110137759952252,2,0.09375,170
Startup_36,Robotics,Bengaluru,2019,76,Seed,9000000,72,16,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,17,On-site,0,1,1,Growing,1,0.21052631578947367,Robotics,Bengaluru,16.012735246411598,0.21069388482120524,6,0.2236842105263158,144
Startup_37,DeepTech,Indore,2023,65,Pre-Series A,1500000,30,7,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,7,Hybrid,0,1,0,Growing,2,0.1076923076923077,DeepTech,Indore,14.220976332738882,0.21878425127290588,2,0.1076923076923077,60
Startup_38,EdTech,Chennai,2020,149,Pre-Series A,0,38,13,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,7,On-site,0,0,0,Growing,2,0.087248322147651,EdTech,Chennai,0.0,0.0,5,0.04697986577181208,38
Startup_39,HealthTech,Delhi,2025,26,Seed,9000000,19,3,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,7,On-site,0,0,1,Emerging,1,0.11538461538461539,HealthTech,Delhi,16.012735246411598,0.6158744325542922,0,0.2692307692307692,19
Startup_40,D2C,Kochi,2024,52,Seed,0,131,11,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,13,On-site,0,0,0,Growing,1,0.21153846153846154,D2C,Kochi,0.0,0.0,1,0.25,131
Startup_41,SaaS,Hyderabad,2022,128,Bootstrapped,0,63,21,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,4,Remote,0,0,1,Emerging,0,0.1640625,SaaS,Hyderabad,0.0,0.0,3,0.03125,63
Startup_42,Semiconductor,Noida,2023,44,Seed,1500000,65,4,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,7,Remote,0,1,0,Growing,1,0.09090909090909091,Semiconductor,Noida,14.220976332738882,0.3232040075622473,2,0.1590909090909091,130
Startup_43,Logistics,Indore,2022,125,Series A,1500000,21,11,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,6,On-site,0,0,0,Growing,3,0.088,Logistics,Indore,14.220976332738882,0.11376781066191105,3,0.048,21
Startup_44,EdTech,Indore,2022,51,Bootstrapped,12000000,38,4,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,9,Hybrid,0,0,0,Growing,0,0.0784313725490196,EdTech,Indore,16.300417291085605,0.319616025315404,3,0.17647058823529413,38
Startup_45,Climate Tech,Mumbai,2025,20,Series A,12000000,144,3,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,17,On-site,0,0,1,Growing,3,0.15,Climate Tech,Mumbai,16.300417291085605,0.8150208645542802,0,0.85,144
Startup_46,SaaS,Noida,2024,148,Series A,9000000,128,20,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,15,Remote,0,0,0,Emerging,3,0.13513513513513514,SaaS,Noida,16.012735246411598,0.10819415707034863,1,0.10135135135135136,128
Startup_47,Logistics,Noida,2023,101,Series A,6000000,111,10,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,4,On-site,0,0,0,High Desirability,3,0.09900990099009901,Logistics,Noida,15.607270193858982,0.1545274276619701,2,0.039603960396039604,111
Startup_48,DeepTech,Noida,2021,28,Series A,9000000,48,4,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,10,On-site,0,1,0,Emerging,3,0.14285714285714285,DeepTech,Noida,16.012735246411598,0.571883401657557,4,0.35714285714285715,96
Startup_49,Logistics,Noida,2025,42,Series A,4000000,89,4,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,14,Remote,0,0,0,Emerging,3,0.09523809523809523,Logistics,Noida,15.201805169084134,0.3619477421210508,0,0.3333333333333333,89
Startup_50,FinTech,Indore,2019,107,Seed,4000000,35,25,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,10,Remote,0,0,0,Growing,1,0.2336448598130841,FinTech,Indore,15.201805169084134,0.14207294550545918,6,0.09345794392523364,35
Startup_51,HealthTech,Pune,2024,76,Pre-Series A,9000000,134,14,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,12,Hybrid,0,0,0,Growing,2,0.18421052631578946,HealthTech,Pune,16.012735246411598,0.21069388482120524,1,0.15789473684210525,134
Startup_52,D2C,Chennai,2021,131,Pre-Series A,4000000,143,12,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,15,Remote,0,0,0,High Desirability,2,0.0916030534351145,D2C,Chennai,15.201805169084134,0.11604431426781782,4,0.11450381679389313,143
Startup_53,D2C,Pune,2022,102,Series A,9000000,34,13,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,17,Remote,0,0,0,Growing,3,0.12745098039215685,D2C,Pune,16.012735246411598,0.15698760045501567,3,0.16666666666666666,34
Startup_54,Climate Tech,Ahmedabad,2021,101,Bootstrapped,0,158,18,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,9,On-site,0,0,0,High Desirability,0,0.1782178217821782,Climate Tech,Ahmedabad,0.0,0.0,4,0.0891089108910891,158
Startup_55,Robotics,Chennai,2020,150,Seed,6000000,36,15,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,9,Hybrid,0,1,0,Emerging,1,0.1,Robotics,Chennai,15.607270193858982,0.10404846795905988,5,0.06,72
Startup_56,D2C,Chennai,2025,101,Bootstrapped,1500000,13,20,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,9,Hybrid,0,0,0,High Desirability,0,0.19801980198019803,D2C,Chennai,14.220976332738882,0.1408017458687018,0,0.0891089108910891,13
Startup_57,DeepTech,Delhi,2021,138,Series A,12000000,75,17,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,12,Hybrid,0,1,1,High Desirability,3,0.12318840579710146,DeepTech,Delhi,16.300417291085605,0.11811896587743193,4,0.08695652173913043,150
Startup_58,DeepTech,Hyderabad,2024,49,Seed,1500000,35,6,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,14,On-site,0,1,1,Emerging,1,0.12244897959183673,DeepTech,Hyderabad,14.220976332738882,0.2902240067905894,1,0.2857142857142857,70
Startup_59,SaaS,Pune,2021,37,Seed,4000000,155,8,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,12,On-site,0,0,0,Growing,1,0.21621621621621623,SaaS,Pune,15.201805169084134,0.41085959916443604,4,0.32432432432432434,155
Startup_60,D2C,Gurugram,2019,155,Pre-Series A,0,60,13,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,17,Remote,0,0,0,Growing,2,0.08387096774193549,D2C,Gurugram,0.0,0.0,6,0.10967741935483871,60
Startup_61,HR Tech,Mumbai,2025,12,Series A,2500000,104,3,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,15,Remote,0,0,1,High Desirability,3,0.25,HR Tech,Mumbai,14.731801689838349,1.2276501408198623,0,1.25,104
Startup_62,Semiconductor,Indore,2019,71,Pre-Series A,6000000,95,11,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,13,On-site,0,1,0,Emerging,2,0.15492957746478872,Semiconductor,Indore,15.607270193858982,0.2198207069557603,6,0.18309859154929578,190
Startup_63,DeepTech,Jaipur,2023,35,Pre-Series A,9000000,46,4,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,15,On-site,0,1,0,Growing,2,0.11428571428571428,DeepTech,Jaipur,16.012735246411598,0.45750672132604564,2,0.42857142857142855,92
Startup_64,HR Tech,Ahmedabad,2023,111,Pre-Series A,2500000,156,14,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,12,On-site,0,0,0,High Desirability,2,0.12612612612612611,HR Tech,Ahmedabad,14.731801689838349,0.13271893414268782,2,0.10810810810810811,156
Startup_65,Logistics,Jaipur,2019,96,Pre-Series A,4000000,158,11,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,8,Remote,0,0,0,Growing,2,0.11458333333333333,Logistics,Jaipur,15.201805169084134,0.15835213717795973,6,0.08333333333333333,158
Startup_66,SpaceTech,Jaipur,2020,68,Seed,9000000,145,6,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,12,Remote,0,0,0,High Desirability,1,0.08823529411764706,SpaceTech,Jaipur,16.012735246411598,0.2354814006825235,5,0.17647058823529413,145
Startup_67,Logistics,Ahmedabad,2023,34,Series A,0,27,8,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,6,Remote,0,0,0,Growing,3,0.23529411764705882,Logistics,Ahmedabad,0.0,0.0,2,0.17647058823529413,27
Startup_68,HealthTech,Chennai,2022,88,Series A,4000000,150,8,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,11,On-site,0,0,0,Emerging,3,0.09090909090909091,HealthTech,Chennai,15.201805169084134,0.1727477860123197,3,0.125,150
Startup_69,FinTech,Delhi,2025,123,Seed,9000000,104,13,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,10,Remote,0,0,1,Growing,1,0.10569105691056911,FinTech,Delhi,16.012735246411598,0.13018483940172032,0,0.08130081300813008,104
Startup_70,DevTools,Indore,2020,122,Seed,2500000,96,10,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,12,Remote,0,1,0,High Desirability,1,0.08196721311475409,DevTools,Indore,14.731801689838349,0.12075247286752745,5,0.09836065573770492,192
Startup_71,DeepTech,Gurugram,2021,73,Bootstrapped,12000000,119,9,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,3,Remote,0,1,0,Growing,0,0.1232876712328767,DeepTech,Gurugram,16.300417291085605,0.22329338754911787,4,0.0410958904109589,238
Startup_72,Climate Tech,Indore,2023,69,Bootstrapped,4000000,64,7,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,9,On-site,0,0,0,Emerging,0,0.10144927536231885,Climate Tech,Indore,15.201805169084134,0.22031601694324832,2,0.13043478260869565,64
Startup_73,AI,Mumbai,2022,114,Pre-Series A,2500000,65,21,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,14,Hybrid,0,1,1,Growing,2,0.18421052631578946,AI,Mumbai,14.731801689838349,0.1292263306126171,3,0.12280701754385964,130
Startup_74,Climate Tech,Chennai,2020,127,Series A,2500000,125,23,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,18,Hybrid,0,0,0,Emerging,3,0.18110236220472442,Climate Tech,Chennai,14.731801689838349,0.11599843850266417,5,0.14173228346456693,125
Startup_75,Semiconductor,Jaipur,2023,30,Seed,9000000,19,6,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,17,Remote,0,1,0,Emerging,1,0.2,Semiconductor,Jaipur,16.012735246411598,0.5337578415470533,2,0.5666666666666667,38
Startup_76,HealthTech,Bengaluru,2023,83,Pre-Series A,2500000,53,17,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,12,On-site,0,0,1,Growing,2,0.20481927710843373,HealthTech,Bengaluru,14.731801689838349,0.1774915866245584,2,0.14457831325301204,53
Startup_77,EdTech,Noida,2022,46,Series A,6000000,55,6,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,4,Remote,0,0,0,High Desirability,3,0.13043478260869565,EdTech,Noida,15.607270193858982,0.3392884824751953,3,0.08695652173913043,55
Startup_78,D2C,Ahmedabad,2022,125,Series A,2500000,109,14,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,16,Remote,0,0,0,Growing,3,0.112,D2C,Ahmedabad,14.731801689838349,0.11785441351870679,3,0.128,109
Startup_79,Climate Tech,Hyderabad,2022,60,Bootstrapped,0,57,12,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,10,Hybrid,0,0,1,High Desirability,0,0.2,Climate Tech,Hyderabad,0.0,0.0,3,0.16666666666666666,57
Startup_80,HR Tech,Hyderabad,2020,95,Seed,1500000,85,16,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,11,On-site,0,0,1,Emerging,1,0.16842105263157894,HR Tech,Hyderabad,14.220976332738882,0.14969448771304086,5,0.11578947368421053,85
Startup_81,FinTech,Bengaluru,2019,29,Bootstrapped,1500000,133,3,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,12,Hybrid,0,0,1,High Desirability,0,0.10344827586206896,FinTech,Bengaluru,14.220976332738882,0.49037849423237523,6,0.41379310344827586,133
Startup_82,DevTools,Mumbai,2025,116,Seed,6000000,86,11,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,16,Remote,0,1,1,Growing,1,0.09482758620689655,DevTools,Mumbai,15.607270193858982,0.13454543270568087,0,0.13793103448275862,172
Startup_83,HR Tech,Kochi,2019,116,Series A,2500000,31,25,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,14,On-site,0,0,0,Emerging,3,0.21551724137931033,HR Tech,Kochi,14.731801689838349,0.12699829042964095,6,0.1206896551724138,31
Startup_84,SpaceTech,Chennai,2019,81,Seed,6000000,111,7,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,17,Remote,0,0,0,Growing,1,0.08641975308641975,SpaceTech,Chennai,15.607270193858982,0.19268234807233312,6,0.20987654320987653,111
Startup_85,HealthTech,Chennai,2025,81,Bootstrapped,4000000,124,15,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,15,On-site,0,0,0,Emerging,0,0.18518518518518517,HealthTech,Chennai,15.201805169084134,0.18767660702573005,0,0.18518518518518517,124
Startup_86,FinTech,Gurugram,2019,56,Series A,9000000,123,8,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,5,Hybrid,0,0,0,Growing,3,0.14285714285714285,FinTech,Gurugram,16.012735246411598,0.2859417008287785,6,0.08928571428571429,123
Startup_87,Robotics,Noida,2022,61,Pre-Series A,2500000,29,5,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,11,On-site,0,1,0,Growing,2,0.08196721311475409,Robotics,Noida,14.731801689838349,0.2415049457350549,3,0.18032786885245902,58
Startup_88,FinTech,Kochi,2024,29,Bootstrapped,2500000,54,6,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,16,Remote,0,0,0,High Desirability,0,0.20689655172413793,FinTech,Kochi,14.731801689838349,0.5079931617185638,1,0.5517241379310345,54
Startup_89,FinTech,Pune,2024,102,Seed,12000000,142,11,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,15,On-site,0,0,0,Emerging,1,0.10784313725490197,FinTech,Pune,16.300417291085605,0.159808012657702,1,0.14705882352941177,142
Startup_90,HR Tech,Bengaluru,2019,52,Series A,12000000,46,9,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,15,On-site,0,0,1,High Desirability,3,0.17307692307692307,HR Tech,Bengaluru,16.300417291085605,0.3134695632901078,6,0.28846153846153844,46
Startup_91,SpaceTech,Gurugram,2022,152,Series A,0,144,34,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,16,On-site,0,0,0,High Desirability,3,0.2236842105263158,SpaceTech,Gurugram,0.0,0.0,3,0.10526315789473684,144
Startup_92,AgriTech,Delhi,2022,104,Seed,6000000,15,11,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,15,On-site,0,0,1,High Desirability,1,0.10576923076923077,AgriTech,Delhi,15.607270193858982,0.15006990571018253,3,0.14423076923076922,15
Startup_93,HealthTech,Mumbai,2023,125,Seed,1500000,52,22,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,5,On-site,0,0,1,Growing,1,0.176,HealthTech,Mumbai,14.220976332738882,0.11376781066191105,2,0.04,52
Startup_94,D2C,Mumbai,2025,118,Pre-Series A,0,64,24,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,17,Hybrid,0,0,1,Growing,2,0.2033898305084746,D2C,Mumbai,0.0,0.0,0,0.1440677966101695,64
Startup_95,SpaceTech,Kochi,2025,86,Seed,4000000,121,18,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,4,On-site,0,0,0,High Desirability,1,0.20930232558139536,SpaceTech,Kochi,15.201805169084134,0.17676517638469924,0,0.046511627906976744,121
Startup_96,D2C,Bengaluru,2024,141,Pre-Series A,9000000,157,33,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,7,On-site,0,0,1,High Desirability,2,0.23404255319148937,D2C,Bengaluru,16.012735246411598,0.11356549820150069,1,0.04964539007092199,157
Startup_97,AgriTech,Gurugram,2019,66,Bootstrapped,6000000,48,10,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,13,Hybrid,0,0,0,Growing,0,0.15151515151515152,AgriTech,Gurugram,15.607270193858982,0.2364737908160452,6,0.19696969696969696,48
Startup_98,HR Tech,Ahmedabad,2019,73,Bootstrapped,2500000,81,16,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,12,Hybrid,0,0,0,Growing,0,0.2191780821917808,HR Tech,Ahmedabad,14.731801689838349,0.20180550260052532,6,0.1643835616438356,81
Startup_99,AgriTech,Chennai,2025,130,Series A,2500000,79,28,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,14,On-site,0,0,0,Growing,3,0.2153846153846154,AgriTech,Chennai,14.731801689838349,0.11332155146029499,0,0.1076923076923077,79
Startup_100,D2C,Chennai,2025,92,Series A,2500000,109,10,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,12,Hybrid,0,0,0,Growing,3,0.10869565217391304,D2C,Chennai,14.731801689838349,0.16012827923737336,0,0.13043478260869565,109
Startup_101,AgriTech,Chennai,2023,121,Pre-Series A,1500000,70,28,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,4,On-site,0,0,0,Growing,2,0.23140495867768596,AgriTech,Chennai,14.220976332738882,0.11752873002263539,2,0.03305785123966942,70
Startup_102,HealthTech,Ahmedabad,2022,46,Seed,4000000,49,11,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,7,Remote,0,0,0,Growing,1,0.2391304347826087,HealthTech,Ahmedabad,15.201805169084134,0.3304740254148725,3,0.15217391304347827,49
Startup_103,Semiconductor,Delhi,2020,45,Series A,6000000,134,7,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,10,Remote,0,1,1,Growing,3,0.15555555555555556,Semiconductor,Delhi,15.607270193858982,0.3468282265301996,5,0.2222222222222222,268
