company_name,sector,hq_city,founded_year,employee_count,funding_stage,total_funding_usd,employee_growth_pct,active_job_openings,top_hiring_roles,wlb_rating,culture_rating,growth_opportunity_rating,salary_rating,overall_employee_rating,glassdoor_reviews_count,remote_friendly,layoff_flag,ai_roles_focus,tier2_expansion,hire_quality_label
Swish,Food Delivery,Bengaluru,2024,115,Series A,14000000,42,18,Software Engineer; QA Executive; Ops Manager,3.8,4.1,4.4,3.6,4.0,12,Hybrid,0,0,0,Growing
Startup_95,SpaceTech,Kochi,2025,86,Seed,4000000,121,18,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,4,On-site,0,0,0,High Desirability
Startup_96,D2C,Bengaluru,2024,141,Pre-Series A,9000000,157,33,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,7,On-site,0,0,1,High Desirability
Startup_97,AgriTech,Gurugram,2019,66,Bootstrapped,6000000,48,10,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,13,Hybrid,0,0,0,Growing
Startup_98,HR Tech,Ahmedabad,2019,73,Bootstrapped,2500000,81,16,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,12,Hybrid,0,0,0,Growing
Startup_99,AgriTech,Chennai,2025,130,Series A,2500000,79,28,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,14,On-site,0,0,0,Growing
Startup_100,D2C,Chennai,2025,92,Series A,2500000,109,10,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,12,Hybrid,0,0,0,Growing
Startup_101,AgriTech,Chennai,2023,121,Pre-Series A,1500000,70,28,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,4,On-site,0,0,0,Growing
Startup_102,HealthTech,Ahmedabad,2022,46,Seed,4000000,49,11,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,7,Remote,0,0,0,Growing
Startup_103,Semiconductor,Delhi,2020,45,Series A,6000000,134,7,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,10,Remote,0,1,1,Growing
Startup_104,EdTech,Mumbai,2020,155,Series A,1500000,146,18,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,11,On-site,0,0,1,Emerging
Startup_105,Semiconductor,Jaipur,2019,81,Seed,0,47,15,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,3,On-site,0,1,0,Growing
Startup_106,Robotics,Ahmedabad,2019,45,Seed,0,152,6,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,5,Hybrid,0,1,0,Emerging
Startup_107,Semiconductor,Bengaluru,2025,97,Series A,9000000,149,10,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,10,Remote,0,1,1,Growing
Startup_108,Climate Tech,Kochi,2023,130,Seed,12000000,34,28,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,8,On-site,0,0,0,High Desirability
Startup_109,DevTools,Mumbai,2020,156,Seed,4000000,158,34,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,14,Remote,0,1,1,Growing
Startup_110,Semiconductor,Bengaluru,2024,99,Seed,0,29,16,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,12,Hybrid,0,1,1,Emerging
Startup_111,HealthTech,Indore,2025,86,Seed,2500000,71,20,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,3,Hybrid,0,0,0,Emerging
Startup_112,D2C,Jaipur,2023,78,Series A,12000000,134,12,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,6,Hybrid,0,0,0,High Desirability
Startup_113,D2C,Noida,2019,43,Pre-Series A,6000000,126,7,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,7,Remote,0,0,0,Growing
Startup_114,Climate Tech,Pune,2021,149,Bootstrapped,6000000,59,34,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,16,Remote,0,0,0,Emerging
Startup_115,SaaS,Delhi,2023,62,Bootstrapped,6000000,92,9,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,14,Hybrid,0,0,1,Emerging
Startup_116,Climate Tech,Kochi,2023,117,Seed,0,26,19,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,15,Hybrid,0,0,0,Growing
Startup_117,FinTech,Mumbai,2019,30,Bootstrapped,0,66,3,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,17,Remote,0,0,1,High Desirability
Startup_118,DevTools,Mumbai,2024,159,Series A,0,42,30,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,11,Remote,0,1,1,High Desirability
Startup_119,DeepTech,Noida,2024,160,Pre-Series A,6000000,63,35,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,16,On-site,0,1,0,High Desirability
Startup_120,DevTools,Chennai,2024,58,Series A,4000000,41,13,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,5,Hybrid,0,1,0,Emerging
Startup_121,Logistics,Mumbai,2023,21,Bootstrapped,6000000,74,4,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,3,Remote,0,0,1,Growing
Startup_122,Logistics,Jaipur,2025,116,Pre-Series A,12000000,90,22,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,3,Hybrid,0,0,0,Growing
Startup_123,EdTech,Bengaluru,2022,140,Bootstrapped,9000000,34,32,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,10,Remote,0,0,1,Growing
Startup_124,DevTools,Ahmedabad,2020,82,Bootstrapped,12000000,78,12,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,9,Hybrid,0,1,0,High Desirability
Startup_125,HealthTech,Gurugram,2021,48,Bootstrapped,12000000,70,4,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,16,On-site,0,0,0,High Desirability
Startup_126,AI,Bengaluru,2021,83,Bootstrapped,6000000,87,18,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,12,Remote,0,1,1,Growing
Startup_127,AgriTech,Kochi,2021,153,Pre-Series A,1500000,151,32,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,12,Hybrid,0,0,0,High Desirability
Startup_128,Climate Tech,Ahmedabad,2022,25,Pre-Series A,4000000,60,6,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,6,Remote,0,0,0,Growing
Startup_129,DevTools,Ahmedabad,2021,108,Pre-Series A,12000000,148,19,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,18,On-site,0,1,0,Growing
Startup_130,SaaS,Ahmedabad,2020,160,Pre-Series A,1500000,22,37,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,6,On-site,0,0,0,Emerging
Startup_131,EdTech,Gurugram,2020,79,Seed,9000000,131,13,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,16,On-site,0,0,0,Growing
Startup_132,AI,Delhi,2024,27,Bootstrapped,6000000,158,6,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,16,On-site,0,1,1,High Desirability
Startup_133,DevTools,Bengaluru,2019,36,Pre-Series A,0,71,4,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,16,Hybrid,0,1,1,Growing
Startup_134,AgriTech,Pune,2020,40,Bootstrapped,1500000,151,3,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,8,Hybrid,0,0,0,Emerging
Startup_135,AI,Indore,2023,85,Seed,6000000,21,16,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,5,On-site,0,1,0,Growing
Startup_136,AgriTech,Bengaluru,2023,90,Seed,6000000,116,21,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,10,On-site,0,0,1,Emerging
Startup_137,HR Tech,Jaipur,2025,30,Bootstrapped,1500000,12,6,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,11,On-site,0,0,0,Emerging
Startup_138,Robotics,Pune,2022,126,Seed,1500000,144,19,SWE; PM; Ops,3.9,4.1,4.2,3.8,4.0,14,Hybrid,0,1,0,Growing
Startup_139,SaaS,Pune,2025,31,Series A,9000000,59,5,SWE; PM; Ops,4.4,4.6,4.7,4.3,4.5,15,Hybrid,0,0,0,High Desirability
Startup_140,DeepTech,Noida,2025,29,Bootstrapped,6000000,157,5,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,6,Hybrid,0,1,0,Emerging
Startup_141,Logistics,Delhi,2022,82,Series A,6000000,115,14,SWE; PM; Ops,3.5,3.7,3.8,3.4,3.6,17,On-site,0,0,1,Growing
Startup_142,AI,Chennai,2022,92,Seed,4000000,84,19,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,10,Hybrid,0,1,0,Emerging
Startup_143,Climate Tech,Chennai,2024,42,Seed,12000000,22,4,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,13,Remote,0,0,0,Growing
Startup_144,Semiconductor,Mumbai,2020,40,Bootstrapped,9000000,75,7,SWE; PM; Ops,3.3,3.5,3.5,3.2,3.4,7,Remote,0,1,1,Growing
Startup_145,Logistics,Ahmedabad,2022,151,Bootstrapped,0,26,35,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,4,Hybrid,0,0,0,Emerging
Startup_146,Semiconductor,Gurugram,2021,97,Pre-Series A,6000000,131,10,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,13,Remote,0,1,0,High Desirability
Startup_147,AI,Kochi,2019,37,Seed,2500000,61,4,SWE; PM; Ops,4.0,4.2,4.2,3.9,4.1,11,Hybrid,0,1,0,High Desirability
Startup_148,HealthTech,Chennai,2021,74,Bootstrapped,12000000,55,10,SWE; PM; Ops,4.3,4.5,4.6,4.2,4.4,18,Hybrid,0,0,0,Growing
Startup_149,Logistics,Ahmedabad,2021,76,Bootstrapped,9000000,94,8,SWE; PM; Ops,3.4,3.6,3.6,3.3,3.5,9,On-site,0,0,0,Emerging
Startup_150,DevTools,Bengaluru,2021,59,Pre-Series A,0,139,12,SWE; PM; Ops,3.6,3.8,3.9,3.5,3.7,18,Hybrid,0,1,1,Growing
Startup_151,Logistics,Ahmedabad,2020,52,Pre-Series A,1500000,79,5,SWE; PM; Ops,4.1,4.3,4.4,4.0,4.2,15,Hybrid,0,0,0,High Desirability
Startup_152,SpaceTech,Bengaluru,2024,29,Pre-Series A,9000000,10,7,SWE; PM; Ops,3.8,4.0,4.0,3.7,3.9,6,Hybrid,0,0,1,Emerging
IndiaStartup_0001,SaaS,Indore,2021,100,Series A,100000,98,10,SWE; PM; Ops,3.1,3.3,3.4,3.0,3.2,4,On-site,0,0,0,Emerging
IndiaStartup_0002,SpaceTech,Gurugram,2021,364,Seed,0,141,15,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,1,On-site,0,0,0,Growing
IndiaStartup_0003,AgriTech,Pune,2023,64,Seed,25000000,77,8,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,18,Remote,0,0,0,High Desirability
IndiaStartup_0004,SaaS,Mumbai,2017,258,Series B,0,171,23,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,18,On-site,0,0,1,Growing
IndiaStartup_0005,AgriTech,Bengaluru,2020,287,Bootstrapped,2000000,157,17,SWE; PM; Ops,3.2,3.4,3.4,3.1,3.3,12,Remote,0,0,1,Emerging
IndiaStartup_0006,D2C,Indore,2025,367,Series B,25000000,38,60,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,6,On-site,0,0,0,High Desirability
IndiaStartup_0007,Climate Tech,Gurugram,2018,365,Series B,1000000,142,61,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,27,Remote,0,0,0,High Desirability
IndiaStartup_0008,D2C,Nagpur,2019,202,Series A,0,149,13,SWE; PM; Ops,4.5,4.7,4.8,4.4,4.6,8,Hybrid,0,0,0,High Desirability
IndiaStartup_0009,SaaS,Bengaluru,2025,301,Pre-Series A,5000000,10,37,SWE; PM; Ops,4.2,4.4,4.5,4.1,4.3,26,On-site,0,0,1,Growing
IndiaStartup_0010,AI,Pune,2025,277,Bootstrapped,250000,38,54,SWE; PM; Ops,3.7,3.9,3.9,3.6,3.8,4,Hybrid,0,1,0,Growing
